flight_key,flight_date,field,year,flight_start,flight_end,sza,sun_azimuth,abs_time_from_noon,irradiance_mean,irradiance_cv,irradiance_n,dpi,agdd,row_azimuth,shadow_row_angle
20230720_G3,2023-07-20,G3,2023,2023-07-20 11:18:00,2023-07-20 11:59:00,26.9004,117.1408,101.5000,670.2619,0.4535,42,49,1764.1800,76.2341,40.9067
20230727_G3,2023-07-27,G3,2023,2023-07-27 09:11:00,2023-07-27 09:57:00,52.1429,92.5935,227.0000,528.0745,0.0837,47,56,1976.2200,76.2341,16.3593
20230713_I3B,2023-07-13,I3B,2023,2023-07-13 11:29:00,2023-07-13 11:55:00,25.4100,116.4424,98.0000,904.1852,0.0542,27,42,1525.1400,1.9751,65.5327
20230720_I3B,2023-07-20,I3B,2023,2023-07-20 09:39:00,2023-07-20 10:01:00,48.1280,93.4648,210.0000,595.5000,0.0393,23,49,1735.2000,1.9751,88.5103
20230727_I3B,2023-07-27,I3B,2023,2023-07-27 11:48:00,2023-07-27 12:10:00,24.3898,127.1620,82.0000,904.6522,0.0200,23,56,1947.2400,1.9751,54.8131
20240703_B7A,2024-07-03,B7A,2024,2024-07-03 13:20:00,2024-07-03 13:46:00,13.1817,194.9291,15.0000,1008.5556,0.0283,27,35,1676.3400,12.5627,2.3664
20240710_B7A,2024-07-10,B7A,2024,2024-07-10 12:55:00,2024-07-10 13:15:00,13.9256,165.9307,14.0000,825.3190,0.3752,21,42,1908.3600,12.5627,26.6320
20240716_B7A,2024-07-16,B7A,2024,2024-07-16 13:10:00,2024-07-16 13:31:00,14.4739,180.3291,0.5000,824.2182,0.0678,22,48,2097.1800,12.5627,12.2336
20240727_B7A,2024-07-27,B7A,2024,2024-07-27 13:11:00,2024-07-27 13:32:00,16.6886,180.8215,1.5000,946.2727,0.0014,22,59,2399.4000,12.5627,11.7412
20240703_C6B,2024-07-03,C6B,2024,2024-07-03 11:49:00,2024-07-03 12:51:00,17.9981,131.3182,58.0000,962.5079,0.0279,63,35,1676.3400,9.6013,58.2831
20240710_C6B,2024-07-10,C6B,2024,2024-07-10 13:42:00,2024-07-10 14:42:00,17.7422,223.6541,53.0000,877.7803,0.3462,61,42,1908.3600,9.6013,34.0529
20240718_C6B,2024-07-18,C6B,2024,2024-07-18 12:23:00,2024-07-18 13:23:00,15.9800,156.2139,27.0000,658.4028,0.4553,36,50,2157.4800,9.6013,33.3874
20240726_C6B,2024-07-26,C6B,2024,2024-07-26 12:49:00,2024-07-26 13:48:00,16.4621,178.3149,1.5000,228.1617,0.2227,60,58,2373.8400,9.6013,11.2864
20240802_C6B,2024-08-02,C6B,2024,2024-08-02 12:54:00,2024-08-02 13:52:00,18.1758,182.1347,3.0000,778.9424,0.1921,59,65,2572.3800,9.6013,7.4666
20250628_C10,2025-06-28,C10,2025,2025-06-28 12:06:00,2025-06-28 12:43:00,16.8949,133.7412,52.5000,993.9474,0.0273,38,32,1618.0200,10.1567,56.4154
20250704_C10,2025-07-04,C10,2025,2025-07-04 12:48:00,2025-07-04 13:14:00,13.4073,162.3523,17.0000,1029.1111,0.0250,27,38,1801.4400,10.1567,27.8044
20250707_C10,2025-07-07,C10,2025,2025-07-07 13:27:00,2025-07-07 13:54:00,13.9727,200.9991,21.5000,1028.0000,0.0063,28,41,1886.0400,10.1567,10.8424
20250711_C10,2025-07-11,C10,2025,2025-07-11 13:51:00,2025-07-11 14:22:00,17.0704,219.9533,46.5000,851.0781,0.3816,32,45,2003.9400,10.1567,29.7967
20250714_C10,2025-07-14,C10,2025,2025-07-14 13:39:00,2025-07-14 14:11:00,16.0543,210.8470,35.0000,990.7606,0.3135,33,48,2096.2800,10.1567,20.6904
20250718_C10,2025-07-18,C10,2025,2025-07-18 15:11:00,2025-07-18 15:42:00,31.2800,250.3281,126.5000,813.9875,0.3526,32,52,2221.7400,10.1567,60.1714
20250721_C10,2025-07-21,C10,2025,2025-07-21 13:22:00,2025-07-21 13:55:00,15.8516,195.6867,18.5000,660.3000,0.5735,28,55,2320.0200,10.1567,5.5300
20250701_C7B,2025-07-01,C7B,2025,2025-07-01 13:44:00,2025-07-01 14:09:00,15.1312,216.1378,38.5000,829.0000,0.4672,26,35,1723.5000,101.7309,65.5931
20250704_C7B,2025-07-04,C7B,2025,2025-07-04 12:11:00,2025-07-04 12:37:00,17.4716,133.6841,54.0000,1007.9615,0.0531,26,38,1809.3600,101.7309,31.9532
20250707_C7B,2025-07-07,C7B,2025,2025-07-07 12:36:00,2025-07-07 13:01:00,14.7404,151.1986,30.5000,1007.7308,0.0084,26,41,1893.9600,101.7309,49.4677
20250710_C7B,2025-07-10,C7B,2025,2025-07-10 11:50:00,2025-07-10 12:15:00,21.5202,123.7324,76.5000,531.5769,0.1552,26,44,1983.0600,101.7309,22.0015
20250712_C7B,2025-07-12,C7B,2025,2025-07-12 13:09:00,2025-07-12 13:33:00,13.8088,181.2635,1.0000,673.5368,0.6041,19,46,2044.2600,101.7309,79.5326
20250718_C7B,2025-07-18,C7B,2025,2025-07-18 14:36:00,2025-07-18 15:00:00,24.2215,238.2558,88.0000,909.6440,0.2789,25,52,2229.6600,101.7309,43.4751
