flight_key,flight_start,flight_end
20230720_G3,7/20/23 11:18,7/20/23 11:59
20230727_G3,7/27/23 9:11,7/27/23 9:57
20230713_I3B,7/13/23 11:29,7/13/23 11:55
20230720_I3B,7/20/23 9:39,7/20/23 10:01
20230727_I3B,7/27/23 11:48,7/27/23 12:10
20240703_B7A,7/3/24 13:20,7/3/24 13:46
20240710_B7A,7/10/24 12:55,7/10/24 13:15
20240716_B7A,7/16/24 13:10,7/16/24 13:31
20240727_B7A,7/27/24 13:11,7/27/24 13:32
20240703_C6B,7/3/24 11:49,7/3/24 12:51
20240710_C6B,7/10/24 13:42,7/10/24 14:42
20240718_C6B,7/18/24 12:23,7/18/24 13:23
20240726_C6B,7/26/24 12:49,7/26/24 13:48
20240802_C6B,8/2/24 12:54,8/2/24 13:52
20250628_C10,6/28/25 12:06,6/28/25 12:43
20250704_C10,7/4/25 12:48,7/4/25 13:14
20250707_C10,7/7/25 13:27,7/7/25 13:54
20250711_C10,7/11/25 13:51,7/11/25 14:22
20250714_C10,7/14/25 13:39,7/14/25 14:11
20250716_C10,7/16/25 12:33,7/16/25 13:03
20250718_C10,7/18/25 15:11,7/18/25 15:42
20250721_C10,7/21/25 13:22,7/21/25 13:55
20250701_C7B,7/1/25 13:44,7/1/25 14:09
20250704_C7B,7/4/25 12:11,7/4/25 12:37
20250707_C7B,7/7/25 12:36,7/7/25 13:01
20250710_C7B,7/10/25 11:50,7/10/25 12:15
20250712_C7B,7/12/25 13:09,7/12/25 13:33
20250714_C7B,7/14/25 12:02,7/14/25 12:29
20250716_C7B,7/16/25 11:55,7/16/25 12:19
20250718_C7B,7/18/25 14:36,7/18/25 15:00
20250721_C7B,7/21/25 12:45,7/21/25 13:09
20250724_C7B,7/24/25 13:10,7/24/25 13:34
