date,gdd
2023-05-01,7.56
2023-05-02,9
2023-05-03,6.12
2023-05-04,6.3
2023-05-05,10.62
2023-05-06,15.12
2023-05-07,19.44
2023-05-08,23.22
2023-05-09,23.4
2023-05-10,14.04
2023-05-11,18.9
2023-05-12,21.78
2023-05-13,23.04
2023-05-14,19.98
2023-05-15,17.82
2023-05-16,22.86
2023-05-17,20.7
2023-05-18,14.4
2023-05-19,11.88
2023-05-20,18.36
2023-05-21,15.84
2023-05-22,17.46
2023-05-23,15.48
2023-05-24,13.68
2023-05-25,13.14
2023-05-26,10.8
2023-05-27,7.74
2023-05-28,13.68
2023-05-29,14.94
2023-05-30,16.56
2023-05-31,17.82
2023-06-01,17.82
2023-06-02,20.88
2023-06-03,23.76
2023-06-04,13.14
2023-06-05,18
2023-06-06,21.06
2023-06-07,15.66
2023-06-08,16.56
2023-06-09,16.38
2023-06-10,21.6
2023-06-11,23.94
2023-06-12,24.3
2023-06-13,22.5
2023-06-14,25.02
2023-06-15,27
2023-06-16,26.82
2023-06-17,23.22
2023-06-18,25.92
2023-06-19,26.28
2023-06-20,21.6
2023-06-21,19.44
2023-06-22,21.96
2023-06-23,25.56
2023-06-24,26.64
2023-06-25,29.52
2023-06-26,29.88
2023-06-27,26.82
2023-06-28,27.18
2023-06-29,25.92
2023-06-30,27.9
2023-07-01,27.18
2023-07-02,30.42
2023-07-03,33.12
2023-07-04,33.84
2023-07-05,27.9
2023-07-06,28.98
2023-07-07,29.88
2023-07-08,27.54
2023-07-09,25.38
2023-07-10,25.38
2023-07-11,28.26
2023-07-12,30.24
2023-07-13,32.04
2023-07-14,27.9
2023-07-15,28.98
2023-07-16,31.5
2023-07-17,28.8
2023-07-18,30.78
2023-07-19,30.96
2023-07-20,31.14
2023-07-21,31.86
2023-07-22,25.74
2023-07-23,27.54
2023-07-24,28.08
2023-07-25,31.68
2023-07-26,33.66
2023-07-27,33.48
2023-07-28,33.48
2023-07-29,32.04
2023-07-30,31.14
2023-07-31,27.36
2023-08-01,25.56
2023-08-02,23.04
2023-08-03,23.4
2023-08-04,24.84
2023-08-05,28.62
2023-08-06,31.86
2023-08-07,29.52
2025-04-17,7.92
2025-04-18,16.02
2025-04-19,21.42
2025-04-20,23.76
2025-04-21,21.78
2025-04-22,19.98
2025-04-23,18.54
2025-04-24,16.92
2025-04-25,21.78
2025-04-26,20.88
2025-04-27,10.98
2025-04-28,11.52
2025-04-29,17.64
2025-04-30,24.3
2025-05-01,25.2
2025-05-02,24.12
2025-05-03,22.5
2025-05-04,17.1
2025-05-05,15.48
2025-05-06,15.84
2025-05-07,18.18
2025-05-08,19.62
2025-05-09,18.36
2025-05-10,12.6
2025-05-11,12.6
2025-05-12,18
2025-05-13,20.88
2025-05-14,17.46
2025-05-15,23.22
2025-05-16,28.44
2025-05-17,27.54
2025-05-18,25.56
2025-05-19,23.4
2025-05-20,21.06
2025-05-21,23.4
2025-05-22,20.34
2025-05-23,15.48
2025-05-24,14.04
2025-05-25,17.64
2025-05-26,12.24
2025-05-27,9.18
2025-05-28,17.82
2025-05-29,18.9
2025-05-30,19.8
2025-05-31,15.3
2025-06-01,15.84
2025-06-02,16.56
2025-06-03,19.62
2025-06-04,22.68
2025-06-05,21.24
2025-06-06,27.72
2025-06-07,28.26
2025-06-08,28.62
2025-06-09,29.88
2025-06-10,25.56
2025-06-11,27.9
2025-06-12,28.26
2025-06-13,26.1
2025-06-14,28.98
2025-06-15,29.16
2025-06-16,27.72
2025-06-17,30.06
2025-06-18,32.76
2025-06-19,31.68
2025-06-20,26.1
2025-06-21,27.9
2025-06-22,32.22
2025-06-23,35.28
2025-06-24,36.72
2025-06-25,31.5
2025-06-26,32.4
2025-06-27,31.32
2025-06-28,29.16
2025-06-29,32.4
2025-06-30,32.94
2025-07-01,32.22
2025-07-02,26.28
2025-07-03,28.98
2025-07-04,30.6
2025-07-05,26.82
2025-07-06,25.02
2025-07-07,32.76
2025-07-08,32.22
2025-07-09,30.42
2025-07-10,26.46
2025-07-11,28.8
2025-07-12,32.4
2025-07-13,29.16
2025-07-14,30.78
2025-07-15,29.16
2025-07-16,30.06
2025-07-17,32.04
2025-07-18,34.2
2025-07-19,31.5
2025-07-20,33.48
2025-07-21,33.3
2025-07-22,29.7
2025-07-23,28.08
2025-07-24,30.06
2025-07-25,34.38
2025-07-26,35.46
2025-07-27,34.92
2025-07-28,33.66
2025-07-29,32.76
2025-07-30,32.04
2025-07-31,29.7
2025-08-01,27.54
2025-08-02,21.78
2025-08-03,20.16
2025-08-04,21.96
2025-08-05,20.52
2025-08-06,19.26
2025-08-07,18.9
2025-08-08,22.5
2024-04-22,0
2024-04-23,6.84
2024-04-24,9.36
2024-04-25,10.8
2024-04-26,9
2024-04-27,12.78
2024-04-28,17.46
2024-04-29,20.34
2024-04-30,21.42
2024-05-01,22.14
2024-05-02,25.02
2024-05-03,26.1
2024-05-04,20.52
2024-05-05,19.26
2024-05-06,21.6
2024-05-07,23.94
2024-05-08,27.36
2024-05-09,21.6
2024-05-10,20.34
2024-05-11,12.06
2024-05-12,15.3
2024-05-13,15.48
2024-05-14,14.94
2024-05-15,14.94
2024-05-16,19.44
2024-05-17,21.42
2024-05-18,19.98
2024-05-19,14.04
2024-05-20,16.56
2024-05-21,20.16
2024-05-22,24.48
2024-05-23,26.1
2024-05-24,22.32
2024-05-25,24.66
2024-05-26,28.08
2024-05-27,24.84
2024-05-28,26.1
2024-05-29,23.76
2024-05-30,18.9
2024-05-31,15.48
2024-06-01,17.28
2024-06-02,22.14
2024-06-03,23.76
2024-06-04,28.08
2024-06-05,27.9
2024-06-06,28.08
2024-06-07,27.54
2024-06-08,25.38
2024-06-09,27.54
2024-06-10,23.58
2024-06-11,22.5
2024-06-12,25.2
2024-06-13,26.82
2024-06-14,29.16
2024-06-15,29.52
2024-06-16,28.26
2024-06-17,27.9
2024-06-18,28.08
2024-06-19,27
2024-06-20,26.82
2024-06-21,29.16
2024-06-22,33.66
2024-06-23,33.84
2024-06-24,34.56
2024-06-25,32.76
2024-06-26,35.46
2024-06-27,30.24
2024-06-28,31.68
2024-06-29,34.02
2024-06-30,30.06
2024-07-01,22.86
2024-07-02,23.04
2024-07-03,27.54
2024-07-04,33.3
2024-07-05,35.64
2024-07-06,33.84
2024-07-07,28.62
2024-07-08,32.76
2024-07-09,33.66
2024-07-10,34.2
2024-07-11,29.52
2024-07-12,25.92
2024-07-13,30.78
2024-07-14,34.56
2024-07-15,34.2
2024-07-16,33.84
2024-07-17,32.58
2024-07-18,27.72
2024-07-19,24.66
2024-07-20,27.36
2024-07-21,28.98
2024-07-22,25.74
2024-07-23,28.98
2024-07-24,29.88
2024-07-25,25.56
2024-07-26,25.2
2024-07-27,25.56
2024-07-28,25.38
2024-07-29,22.14
2024-07-30,29.52
2024-07-31,30.96
2024-08-01,34.2
2024-08-02,30.78
2024-08-03,27.9
2024-08-04,27.18
2024-08-05,29.16
2024-08-06,24.84
2024-08-07,25.74
2024-08-08,26.82
2024-08-09,28.62
2024-08-10,31.5
