plot,field,year,date,score,flight_date,image_filename
4709,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_04709.jpg
327,C7B,2025,7/4/25,7.5,7/4/25,20250704_C7B_00327.jpg
5797,C10,2025,7/19/25,3.0,7/18/25,20250718_C10_05797.jpg
5389,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05389.jpg
50,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_00050.jpg
6859,C10,2025,7/18/25,5.5,7/18/25,20250718_C10_06859.jpg
4729,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_04729.jpg
2844,C7B,2025,7/13/25,4.0,7/12/25,20250712_C7B_02844.jpg
5314,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05314.jpg
6046,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_06046.jpg
5500,C10,2025,7/2/25,8.0,7/4/25,20250704_C10_05500.jpg
38,C7B,2025,7/4/25,7.0,7/4/25,20250704_C7B_00038.jpg
2754,C7B,2025,6/30/25,8.5,7/1/25,20250701_C7B_02754.jpg
2752,C7B,2025,7/8/25,8.0,7/7/25,20250707_C7B_02752.jpg
39,C7B,2025,7/4/25,8.0,7/4/25,20250704_C7B_00039.jpg
1206,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_01206.jpg
2651,C7B,2025,6/30/25,8.0,7/1/25,20250701_C7B_02651.jpg
5820,C10,2025,7/19/25,4.5,7/18/25,20250718_C10_05820.jpg
5096,C10,2025,7/20/25,2.5,7/21/25,20250721_C10_05096.jpg
4983,C10,2025,7/20/25,1.5,7/21/25,20250721_C10_04983.jpg
1877,C7B,2025,7/10/25,4.5,7/10/25,20250710_C7B_01877.jpg
6677,C10,2025,6/30/25,8.5,6/28/25,20250628_C10_06677.jpg
1794,C7B,2025,7/7/25,5.0,7/7/25,20250707_C7B_01794.jpg
1641,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_01641.jpg
848,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_00848.jpg
1948,C7B,2025,7/7/25,5.0,7/7/25,20250707_C7B_01948.jpg
5721,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05721.jpg
5419,C10,2025,7/2/25,6.5,7/4/25,20250704_C10_05419.jpg
7437,G3,2023,7/26/23,7.0,7/27/23,20230727_G3_07437.jpg
4704,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_04704.jpg
5844,C10,2025,7/8/25,7.5,7/7/25,20250707_C10_05844.jpg
