plot,field,year,date,score,flight_date,image_filename,signed_days_diff,_abs_path
1762,C6B,2024,7/19/24,8.0,7/18/24,20240718_C6B_01762.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_01762.jpg
1107,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_01107.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_01107.jpg
2521,C6B,2024,7/1/24,7.5,7/3/24,20240703_C6B_02521.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240703_C6B_02521.jpg
5543,C10,2025,7/20/25,3.0,7/21/25,20250721_C10_05543.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250721_C10_05543.jpg
2056,C6B,2024,7/19/24,5.0,7/18/24,20240718_C6B_02056.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_02056.jpg
3937,B7A,2024,7/15/24,8.5,7/16/24,20240716_B7A_03937.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240716_B7A_03937.jpg
5846,C10,2025,7/8/25,6.5,7/7/25,20250707_C10_05846.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250707_C10_05846.jpg
6806,C10,2025,7/18/25,6.5,7/18/25,20250718_C10_06806.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C10_06806.jpg
3231,C6B,2024,7/15/24,8.5,7/18/24,20240718_C6B_03231.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_03231.jpg
5112,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_05112.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05112.jpg
5565,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_05565.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_05565.jpg
1991,C6B,2024,7/19/24,5.0,7/18/24,20240718_C6B_01991.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_01991.jpg
3569,C6B,2024,7/15/24,7.0,7/18/24,20240718_C6B_03569.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_03569.jpg
5121,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_05121.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_05121.jpg
2540,C6B,2024,7/11/24,5.5,7/10/24,20240710_C6B_02540.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240710_C6B_02540.jpg
2738,C6B,2024,7/15/24,8.0,7/18/24,20240718_C6B_02738.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_02738.jpg
1490,C6B,2024,7/19/24,7.0,7/18/24,20240718_C6B_01490.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_01490.jpg
969,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00969.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C7B_00969.jpg
3932,B7A,2024,7/30/24,3.0,7/27/24,20240727_B7A_03932.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240727_B7A_03932.jpg
6832,C10,2025,7/14/25,7.5,7/14/25,20250714_C10_06832.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250714_C10_06832.jpg
1104,C6B,2024,7/29/24,4.0,7/26/24,20240726_C6B_01104.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240726_C6B_01104.jpg
3740,C6B,2024,7/30/24,4.0,8/2/24,20240802_C6B_03740.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240802_C6B_03740.jpg
4362,B7A,2024,7/15/24,7.0,7/16/24,20240716_B7A_04362.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240716_B7A_04362.jpg
3829,B7A,2024,7/30/24,4.0,7/27/24,20240727_B7A_03829.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240727_B7A_03829.jpg
876,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_00876.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_00876.jpg
4958,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_04958.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_04958.jpg
38,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_00038.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C7B_00038.jpg
730,C6B,2024,7/19/24,7.5,7/18/24,20240718_C6B_00730.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00730.jpg
6775,C10,2025,7/8/25,8.5,7/7/25,20250707_C10_06775.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250707_C10_06775.jpg
1322,C7B,2025,7/1/25,5.0,7/1/25,20250701_C7B_01322.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_01322.jpg
