plot,field,year,date,score,flight_date,image_filename,signed_days_diff,_abs_path
8086,G3,2023,7/20/23,6.0,7/20/23,20230720_G3_08086.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08086.jpg
4522,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_04522.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_04522.jpg
84,C7B,2025,6/30/25,7.5,7/1/25,20250701_C7B_00084.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_00084.jpg
10238,I3B,2023,7/25/23,3.0,7/27/23,20230727_I3B_10238.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10238.jpg
9570,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09570.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09570.jpg
11067,I3B,2023,7/12/23,7.0,7/13/23,20230713_I3B_11067.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_11067.jpg
4354,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_04354.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_04354.jpg
7400,G3,2023,7/26/23,8.0,7/27/23,20230727_G3_07400.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07400.jpg
10037,I3B,2023,7/12/23,4.5,7/13/23,20230713_I3B_10037.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_10037.jpg
5997,C10,2025,7/2/25,6.5,7/4/25,20250704_C10_05997.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_05997.jpg
4797,C10,2025,7/2/25,5.0,7/4/25,20250704_C10_04797.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_04797.jpg
788,C7B,2025,7/10/25,5.5,7/10/25,20250710_C7B_00788.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_00788.jpg
3002,G3,2023,7/26/23,8.0,7/27/23,20230727_G3_03002.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_03002.jpg
5330,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_05330.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250721_C10_05330.jpg
424,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_00424.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C7B_00424.jpg
5148,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05148.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05148.jpg
8093,G3,2023,7/20/23,8.0,7/20/23,20230720_G3_08093.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08093.jpg
11227,I3B,2023,7/19/23,5.0,7/20/23,20230720_I3B_11227.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_11227.jpg
10261,I3B,2023,7/25/23,5.0,7/27/23,20230727_I3B_10261.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10261.jpg
1256,C7B,2025,7/18/25,1.5,7/18/25,20250718_C7B_01256.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C7B_01256.jpg
9786,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09786.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09786.jpg
3209,G3,2023,7/19/23,7.0,7/20/23,20230720_G3_03209.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03209.jpg
4324,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_04324.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_04324.jpg
9943,I3B,2023,7/12/23,4.5,7/13/23,20230713_I3B_09943.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09943.jpg
4563,C10,2025,7/20/25,4.0,7/21/25,20250721_C10_04563.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250721_C10_04563.jpg
4666,C10,2025,7/2/25,5.5,7/4/25,20250704_C10_04666.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_04666.jpg
9589,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09589.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09589.jpg
11167,I3B,2023,7/12/23,7.0,7/13/23,20230713_I3B_11167.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_11167.jpg
2753,C7B,2025,6/30/25,8.0,7/1/25,20250701_C7B_02753.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_02753.jpg
9645,I3B,2023,7/12/23,4.5,7/13/23,20230713_I3B_09645.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09645.jpg
1734,C7B,2025,7/1/25,8.0,7/1/25,20250701_C7B_01734.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_01734.jpg
4561,C10,2025,7/2/25,6.5,7/4/25,20250704_C10_04561.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250704_C10_04561.jpg
7350,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07350.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07350.jpg
10894,I3B,2023,7/19/23,5.5,7/20/23,20230720_I3B_10894.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10894.jpg
9985,I3B,2023,7/12/23,6.0,7/13/23,20230713_I3B_09985.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09985.jpg
4331,C10,2025,7/7/25,5.5,7/7/25,20250707_C10_04331.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250707_C10_04331.jpg
3054,G3,2023,7/19/23,7.0,7/20/23,20230720_G3_03054.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03054.jpg
10955,I3B,2023,7/19/23,5.5,7/20/23,20230720_I3B_10955.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10955.jpg
4640,C10,2025,7/20/25,3.5,7/21/25,20250721_C10_04640.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250721_C10_04640.jpg
1265,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_01265.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_01265.jpg
10926,I3B,2023,7/19/23,5.5,7/20/23,20230720_I3B_10926.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10926.jpg
9951,I3B,2023,7/12/23,6.0,7/13/23,20230713_I3B_09951.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09951.jpg
8048,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_08048.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08048.jpg
10974,I3B,2023,7/19/23,6.5,7/20/23,20230720_I3B_10974.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10974.jpg
2033,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_02033.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_02033.jpg
5464,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_05464.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05464.jpg
5231,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_05231.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05231.jpg
4325,C10,2025,7/7/25,5.5,7/7/25,20250707_C10_04325.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250707_C10_04325.jpg
10996,I3B,2023,7/19/23,6.0,7/20/23,20230720_I3B_10996.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10996.jpg
4364,C10,2025,6/30/25,5.5,6/28/25,20250628_C10_04364.jpg,-2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250628_C10_04364.jpg
10834,I3B,2023,7/19/23,5.0,7/20/23,20230720_I3B_10834.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10834.jpg
814,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_00814.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_00814.jpg
7447,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_07447.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07447.jpg
5354,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05354.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05354.jpg
10272,I3B,2023,7/25/23,4.5,7/27/23,20230727_I3B_10272.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10272.jpg
5217,C10,2025,7/20/25,2.5,7/21/25,20250721_C10_05217.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250721_C10_05217.jpg
1471,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_01471.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_01471.jpg
10937,I3B,2023,7/19/23,6.5,7/20/23,20230720_I3B_10937.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10937.jpg
10982,I3B,2023,7/19/23,6.5,7/20/23,20230720_I3B_10982.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10982.jpg
5032,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_05032.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250721_C10_05032.jpg
5841,C10,2025,7/19/25,2.0,7/18/25,20250718_C10_05841.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C10_05841.jpg
4266,C10,2025,7/7/25,5.0,7/7/25,20250707_C10_04266.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250707_C10_04266.jpg
858,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00858.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C7B_00858.jpg
3194,G3,2023,7/19/23,7.0,7/20/23,20230720_G3_03194.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03194.jpg
3076,G3,2023,7/26/23,8.5,7/27/23,20230727_G3_03076.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_03076.jpg
2037,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_02037.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_02037.jpg
10020,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_10020.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_10020.jpg
1960,C7B,2025,7/19/25,2.5,7/18/25,20250718_C7B_01960.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250718_C7B_01960.jpg
5052,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_05052.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05052.jpg
22,C7B,2025,6/30/25,8.0,7/1/25,20250701_C7B_00022.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_00022.jpg
10285,I3B,2023,7/25/23,4.0,7/27/23,20230727_I3B_10285.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10285.jpg
3103,G3,2023,7/26/23,7.0,7/27/23,20230727_G3_03103.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_03103.jpg
827,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_00827.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_00827.jpg
7473,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_07473.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07473.jpg
3102,G3,2023,7/19/23,8.0,7/20/23,20230720_G3_03102.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03102.jpg
893,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_00893.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_00893.jpg
11301,I3B,2023,7/19/23,6.5,7/20/23,20230720_I3B_11301.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_11301.jpg
1113,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_01113.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_01113.jpg
7382,G3,2023,7/26/23,5.5,7/27/23,20230727_G3_07382.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07382.jpg
5489,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_05489.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_05489.jpg
11142,I3B,2023,7/12/23,8.0,7/13/23,20230713_I3B_11142.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_11142.jpg
10046,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_10046.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_10046.jpg
3040,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_03040.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03040.jpg
4208,C10,2025,6/30/25,7.0,6/28/25,20250628_C10_04208.jpg,-2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250628_C10_04208.jpg
1400,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_01400.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250701_C7B_01400.jpg
10370,I3B,2023,7/25/23,4.0,7/27/23,20230727_I3B_10370.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10370.jpg
6708,C10,2025,7/8/25,7.5,7/7/25,20250707_C10_06708.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250707_C10_06708.jpg
4706,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_04706.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250711_C10_04706.jpg
10040,I3B,2023,7/12/23,4.0,7/13/23,20230713_I3B_10040.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_10040.jpg
9781,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09781.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09781.jpg
410,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_00410.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20250710_C7B_00410.jpg
7339,G3,2023,7/26/23,6.0,7/27/23,20230727_G3_07339.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07339.jpg
