plot,field,year,date,score,flight_date,image_filename,signed_days_diff
9565,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09565.jpg,1
9566,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09566.jpg,1
9567,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09567.jpg,1
9568,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09568.jpg,1
9569,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09569.jpg,1
9570,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09570.jpg,1
9571,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09571.jpg,1
9572,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09572.jpg,1
9573,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09573.jpg,1
9574,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09574.jpg,1
9575,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09575.jpg,1
9576,I3B,2023,7/12/23,5,7/13/23,20230713_I3B_09576.jpg,1
9577,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09577.jpg,1
9578,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09578.jpg,1
9579,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09579.jpg,1
9580,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09580.jpg,1
9581,I3B,2023,7/12/23,5,7/13/23,20230713_I3B_09581.jpg,1
9582,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09582.jpg,1
9583,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09583.jpg,1
9584,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09584.jpg,1
9585,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09585.jpg,1
9586,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09586.jpg,1
9587,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09587.jpg,1
9588,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09588.jpg,1
9589,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09589.jpg,1
9590,I3B,2023,7/12/23,5,7/13/23,20230713_I3B_09590.jpg,1
9591,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09591.jpg,1
9592,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09592.jpg,1
9593,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09593.jpg,1
9594,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09594.jpg,1
9595,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09595.jpg,1
9596,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09596.jpg,1
9597,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09597.jpg,1
9598,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09598.jpg,1
9599,I3B,2023,7/12/23,5,7/13/23,20230713_I3B_09599.jpg,1
9600,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09600.jpg,1
9602,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09602.jpg,1
9603,I3B,2023,7/12/23,5,7/13/23,20230713_I3B_09603.jpg,1
9604,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09604.jpg,1
9605,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09605.jpg,1
9606,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09606.jpg,1
9607,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09607.jpg,1
9608,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09608.jpg,1
9609,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09609.jpg,1
9610,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09610.jpg,1
9611,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09611.jpg,1
9612,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09612.jpg,1
9613,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09613.jpg,1
9614,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09614.jpg,1
9615,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09615.jpg,1
9616,I3B,2023,7/12/23,5,7/13/23,20230713_I3B_09616.jpg,1
9617,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09617.jpg,1
9618,I3B,2023,7/12/23,7,7/13/23,20230713_I3B_09618.jpg,1
9619,I3B,2023,7/12/23,6,7/13/23,20230713_I3B_09619.jpg,1
9620,I3B,2023,7/12/23,6.5,7/13/23,20230713_I3B_09620.jpg,1
