score,type,observed,expected_kde,deviation
1.0000,integer,155,398.9100,-243.9100
1.5000,half-integer,1027,932.0500,94.9500
2.0000,integer,1446,1063.1800,382.8200
2.5000,half-integer,552,1069.7800,-517.7800
3.0000,integer,1624,1162.5700,461.4300
3.5000,half-integer,581,1387.0900,-806.0900
4.0000,integer,2777,1652.1700,1124.8300
4.5000,half-integer,677,1774.6800,-1097.6800
5.0000,integer,2849,1962.1100,886.8900
5.5000,half-integer,1581,2022.5100,-441.5100
6.0000,integer,2396,1952.6400,443.3600
6.5000,half-integer,1237,1972.2300,-735.2300
7.0000,integer,2668,2222.7500,445.2500
7.5000,half-integer,2402,2370.5300,31.4700
8.0000,integer,2601,2108.3000,492.7000
8.5000,half-integer,1422,1474.0700,-52.0700
9.0000,integer,76,545.4300,-469.4300
