model,display_name,family,fold,fold_name,test_year,n_train,n_val,n_test,r2,mae,rmse
efficientnetv2_s,EfficientNet V2-S,CNN,1,fold_2023,2023,19949,3521,2601,0.4120599483922806,0.8568237,1.0581745
efficientnetv2_s,EfficientNet V2-S,CNN,2,fold_2024,2024,15113,2668,8290,0.507485272934899,1.4534106,1.7212514
efficientnetv2_s,EfficientNet V2-S,CNN,3,fold_2025,2025,9257,1634,15180,0.5938072997363244,0.95953625,1.1962086
convnextv2_base,ConvNeXt V2-B,CNN,1,fold_23,23,19949,3521,2601,0.6518100500106812,0.6173714995384216,0.8143270291252025
convnextv2_base,ConvNeXt V2-B,CNN,2,fold_24,24,15113,2668,8290,0.6211482882499695,1.2148621082305908,1.5096258021214128
convnextv2_base,ConvNeXt V2-B,CNN,3,fold_25,25,9257,1634,15180,0.6728830337524414,0.8297415375709534,1.073476228832272
convnextv2_large,ConvNeXt V2-L,CNN,1,fold_23,23,19949,3521,2601,0.4700766205787658,0.763375997543335,1.004609587282776
convnextv2_large,ConvNeXt V2-L,CNN,2,fold_24,24,15113,2668,8290,0.6301536560058594,1.2050069570541382,1.491575885490699
convnextv2_large,ConvNeXt V2-L,CNN,3,fold_25,25,9257,1634,15180,0.7343435883522034,0.7499886155128479,0.9673887515577556
dinov2_vits14,DINOv2 ViT-S/14,ViT,1,fold_23,23,19949,3521,2601,0.4952165484428406,0.7751105427742004,0.980490315749891
dinov2_vits14,DINOv2 ViT-S/14,ViT,2,fold_24,24,15113,2668,8290,0.6109240055084229,1.2146936655044556,1.5298606955724343
dinov2_vits14,DINOv2 ViT-S/14,ViT,3,fold_25,25,9257,1634,15180,0.4828460216522217,1.0447462797164917,1.3497421616442362
dinov2_vitb14,DINOv2 ViT-B/14,ViT,1,fold_2023,2023,19949,3521,2601,0.6295183897018433,0.6392181515693665,0.8399899409320689
dinov2_vitb14,DINOv2 ViT-B/14,ViT,2,fold_2024,2024,15113,2668,8290,0.5906393527984619,1.3006263971328735,1.5692340715947963
dinov2_vitb14,DINOv2 ViT-B/14,ViT,3,fold_2025,2025,9257,1634,15180,0.6724690198898315,0.839701771736145,1.0741552740549645
eva02_base,EVA-02-B,ViT,1,fold_23,23,19949,3521,2601,0.6103042364120483,0.6712772846221924,0.8614966867984232
eva02_base,EVA-02-B,ViT,2,fold_24,24,15113,2668,8290,0.7132800817489624,1.0552434921264648,1.3132990414026953
eva02_base,EVA-02-B,ViT,3,fold_25,25,9257,1634,15180,0.7662056088447571,0.7082841992378235,0.907523555041404
maxvit_small,MaxViT-S,Hybrid,1,fold_23,23,19949,3521,2601,0.5277212858200073,0.7224715352058411,0.9483964952860444
maxvit_small,MaxViT-S,Hybrid,2,fold_24,24,15113,2668,8290,0.5807305574417114,1.267313838005066,1.5881125225044015
maxvit_small,MaxViT-S,Hybrid,3,fold_25,25,9257,1634,15180,0.6268312931060791,0.9001489877700806,1.146551219372107
swinv2_base,SwinV2-B,Hybrid,1,fold_23,23,19949,3521,2601,0.4781109094619751,0.7513418793678284,0.9969648999878632
swinv2_base,SwinV2-B,Hybrid,2,fold_24,24,15113,2668,8290,0.6489317417144775,1.1640673875808716,1.4532169099966608
swinv2_base,SwinV2-B,Hybrid,3,fold_25,25,9257,1634,15180,0.6576400995254517,0.8613334894180298,1.0982022377878449
coatnet2,CoAtNet-2,Hybrid,1,fold_23,23,19949,3521,2601,0.5954928994178772,0.6792910099029541,0.877715659945418
coatnet2,CoAtNet-2,Hybrid,2,fold_24,24,15113,2668,8290,0.5868856906890869,1.2802114486694336,1.576412316863873
coatnet2,CoAtNet-2,Hybrid,3,fold_25,25,9257,1634,15180,0.7391319870948792,0.7394392490386963,0.9586305886146016
