model,display_name,family,fold,fold_name,test_year,n_train,n_val,n_test,r2,mae,rmse
efficientnetv2_s,EfficientNet V2-S,CNN,1,fold_2023,2023,4421,781,2601,0.5657951235771179,0.7063373923301697,0.909364745924595
efficientnetv2_s,EfficientNet V2-S,CNN,2,fold_2024,2024,4421,781,2601,0.5419853925704956,1.4177453517913818,1.6697731405112068
efficientnetv2_s,EfficientNet V2-S,CNN,3,fold_2025,2025,4421,781,2601,0.692671537399292,0.819853663444519,1.0388528571600928
convnextv2_base,ConvNeXt V2-B,CNN,1,fold_2023,2023,4421,781,2601,0.3146060109138489,0.8508844375610352,1.1425123192493594
convnextv2_base,ConvNeXt V2-B,CNN,2,fold_2024,2024,4421,781,2601,0.6014397740364075,1.2976503372192385,1.5576317630024852
convnextv2_base,ConvNeXt V2-B,CNN,3,fold_2025,2025,4421,781,2601,0.6925371885299683,0.7975620627403259,1.0390798075120455
convnextv2_large,ConvNeXt V2-L,CNN,1,fold_2023,2023,4421,781,2601,0.3589583039283752,0.7950930595397949,1.1049277525335766
convnextv2_large,ConvNeXt V2-L,CNN,2,fold_2024,2024,4421,781,2601,0.5792192220687866,1.327603816986084,1.6004633520031628
convnextv2_large,ConvNeXt V2-L,CNN,3,fold_2025,2025,4421,781,2601,0.6538442373275757,0.8551623821258545,1.1025248703836623
dinov2_vits14,DINOv2 ViT-S/14,ViT,1,fold_2023,2023,4421,781,2601,0.506356954574585,0.7408095598220825,0.9696103577596444
dinov2_vits14,DINOv2 ViT-S/14,ViT,2,fold_2024,2024,4421,781,2601,0.3144230842590332,1.742587685585022,2.042894277139996
dinov2_vits14,DINOv2 ViT-S/14,ViT,3,fold_2025,2025,4421,781,2601,0.5341683626174927,0.9665798544883728,1.2789898499208652
dinov2_vitb14,DINOv2 ViT-B/14,ViT,1,fold_2023,2023,4421,781,2601,0.3591617941856384,0.8397461175918579,1.1047524176176906
dinov2_vitb14,DINOv2 ViT-B/14,ViT,2,fold_2024,2024,4421,781,2601,0.579243540763855,1.328715205192566,1.6004171521741466
dinov2_vitb14,DINOv2 ViT-B/14,ViT,3,fold_2025,2025,4421,781,2601,0.3176079988479614,1.2394365072250366,1.5479950929159505
eva02_base,EVA-02-B,ViT,1,fold_2023,2023,4421,781,2601,0.5846060514450073,0.6750949025154114,0.8894485830399989
eva02_base,EVA-02-B,ViT,2,fold_2024,2024,4421,781,2601,0.6397527456283569,1.2054557800292969,1.4808741934748395
eva02_base,EVA-02-B,ViT,3,fold_2025,2025,4421,781,2601,0.7400304079055786,0.7325637936592102,0.9554631222248656
maxvit_small,MaxViT-S,Hybrid,1,fold_2023,2023,4421,781,2601,0.380952775478363,0.8116161823272705,1.0858070061292513
maxvit_small,MaxViT-S,Hybrid,2,fold_2024,2024,4421,781,2601,0.5680533051490784,1.3268558979034424,1.6215594563717888
maxvit_small,MaxViT-S,Hybrid,3,fold_2025,2025,4421,781,2601,0.6669071912765503,0.8269515037536621,1.0815217423214785
swinv2_base,SwinV2-B,Hybrid,1,fold_2023,2023,4421,781,2601,0.3859540224075317,0.8188331723213196,1.081412026897035
swinv2_base,SwinV2-B,Hybrid,2,fold_2024,2024,4421,781,2601,0.5865916013717651,1.2784059047698977,1.5863808463134204
swinv2_base,SwinV2-B,Hybrid,3,fold_2025,2025,4421,781,2601,0.7343394160270691,0.7376842498779297,0.9658643977430282
coatnet2,CoAtNet-2,Hybrid,1,fold_2023,2023,4421,781,2601,0.3668036460876465,0.84090256690979,1.0981456372102318
coatnet2,CoAtNet-2,Hybrid,2,fold_2024,2024,4421,781,2601,0.5982515811920166,1.3118782043457031,1.5638493107797522
coatnet2,CoAtNet-2,Hybrid,3,fold_2025,2025,4421,781,2601,0.7422600388526917,0.730199933052063,0.9513569660835862
